<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170926,000000,0.7934700,0.7948700,0.7857000,0.7884900,1155638
AUDUSD,D,20170927,000000,0.7883300,0.7888600,0.7833000,0.7847000,1218179
AUDUSD,D,20170928,000000,0.7847200,0.7860200,0.7796000,0.7852400,1167527
AUDUSD,D,20170929,000000,0.7851900,0.7857200,0.7815000,0.7832700,1004160
AUDUSD,D,20170930,000000,0.7825200,0.7825200,0.7825200,0.7825200,1
AUDUSD,D,20171001,000000,0.7837000,0.7842000,0.7825900,0.7832000,561
AUDUSD,D,20171002,000000,0.7835500,0.7847600,0.7792000,0.7825500,1091648
AUDUSD,D,20171003,000000,0.7824600,0.7838600,0.7783000,0.7833500,1056416
AUDUSD,D,20171004,000000,0.7834600,0.7875100,0.7827000,0.7863200,1038022
AUDUSD,D,20171005,000000,0.7860900,0.7865500,0.7784000,0.7794700,952632
AUDUSD,D,20171006,000000,0.7794700,0.7798400,0.7731000,0.7765100,1155688
AUDUSD,D,20171007,000000,0.7766000,0.7766000,0.7762100,0.7764000,35
AUDUSD,D,20171008,000000,0.7775700,0.7778000,0.7748900,0.7769200,1297
AUDUSD,D,20171009,000000,0.7774000,0.7782300,0.7745000,0.7752800,658850
AUDUSD,D,20171010,000000,0.7752700,0.7797100,0.7746000,0.7777400,949531
AUDUSD,D,20171011,000000,0.7777000,0.7809100,0.7768000,0.7788100,1039149
AUDUSD,D,20171012,000000,0.7788000,0.7835900,0.7782300,0.7819200,1087203
AUDUSD,D,20171013,000000,0.7819100,0.7897300,0.7811500,0.7885700,1082040
AUDUSD,D,20171014,000000,0.7883200,0.7883200,0.7883200,0.7883200,1
AUDUSD,D,20171015,000000,0.7885000,0.7888200,0.7877300,0.7883000,637
AUDUSD,D,20171016,000000,0.7887400,0.7889900,0.7840000,0.7847700,1035778
AUDUSD,D,20171017,000000,0.7849700,0.7861300,0.7815000,0.7844700,1060239
AUDUSD,D,20171018,000000,0.7842400,0.7858000,0.7816000,0.7845900,1017040
AUDUSD,D,20171019,000000,0.7845100,0.7884000,0.7838000,0.7877200,1224619
AUDUSD,D,20171020,000000,0.7877300,0.7882100,0.7805000,0.7814400,1127735
AUDUSD,D,20171021,000000,0.7816700,0.7816700,0.7814000,0.7814000,2
AUDUSD,D,20171022,000000,0.7811000,0.7822000,0.7805000,0.7820000,413
AUDUSD,D,20171023,000000,0.7813000,0.7834500,0.7793000,0.7805700,951785
